fips,year,total_subs_adj
54009,2019,17049
54011,2019,22058
54013,2019,4129
54015,2019,1697
54017,2019,3159
54019,2019,1838
54021,2019,7170
54023,2019,138157
54025,2019,655647
54027,2019,407906
54029,2019,114
54031,2019,575022
54033,2019,21928
54035,2019,76122
54037,2019,2580161
54039,2019,40214
54041,2019,861
54043,2019,31867
54045,2019,12284
54047,2019,0
54049,2019,16811
54051,2019,7406
54053,2019,1216515
54055,2019,949
54057,2019,201226
54061,2019,7573
54063,2019,172885
54065,2019,30265
54067,2019,4788
54069,2019,16794
54071,2019,258493
54073,2019,622
54075,2019,52169
54077,2019,430254
54079,2019,127426
54081,2019,3576
54083,2019,138812
54085,2019,10085
54087,2019,25782
54089,2019,5553
54091,2019,4122
54093,2019,8392
54095,2019,4239
54097,2019,3686
54099,2019,39996
54101,2019,89
54103,2019,0
54105,2019,2404
54107,2019,32353
54109,2019,0
54001,2018,68600.73076
54003,2018,494722.0761
54005,2018,7244.784205
54007,2018,10003.30097
54009,2018,9189.645053
54011,2018,38156.60747
54013,2018,12343.82991
54015,2018,13797.65652
54017,2018,2404.444555
54019,2018,4350.319937
54021,2018,5992.849782
54023,2018,155542.1993
54025,2018,389978.587
54027,2018,250790.6688
54029,2018,0
54031,2018,289602.6649
54033,2018,52817.63205
54035,2018,52436.16743
54037,2018,881262.4089
54039,2018,45738.21682
54041,2018,4049.003467
54043,2018,58242.34304
54045,2018,19646.44253
54047,2018,0
54049,2018,16631.24877
54051,2018,4319.88393
54053,2018,227283.926
54055,2018,4426.409954
54057,2018,20866.92641
54061,2018,7688.135374
54063,2018,390316.4267
54065,2018,12862.25657
54067,2018,14090.85672
54069,2018,9884.600547
54071,2018,122592.1781
54073,2018,603.6474726
54075,2018,63478.35078
54077,2018,254136.6005
54079,2018,43834.95185
54081,2018,5686.460645
54083,2018,70578.05668
54085,2018,14879.1493
54087,2018,31227.3432
54089,2018,3758.846867
54091,2018,8067.570928
54093,2018,10489.26255
54095,2018,19034.67879
54097,2018,7543.057073
54099,2018,51672.22365
54101,2018,1306.719235
54103,2018,1719.634397
54105,2018,5290.792554
54107,2018,13755.04611
54109,2018,0
54001,2017,14039.18802
54003,2017,681285.9007
54005,2017,33914.12333
54007,2017,9047.63805
54009,2017,2024.414199
54011,2017,27727.83711
54013,2017,6610.459071
54015,2017,14294.31399
54017,2017,9206.313958
54019,2017,5435.427673
54021,2017,7353.020837
54023,2017,239074.8127
54025,2017,773070.0611
54027,2017,394280.5927
54029,2017,0
54031,2017,601261.3882
54033,2017,95739.65
54035,2017,73484.57608
54037,2017,1039221.414
54039,2017,22140.99321
54041,2017,4502.039979
54043,2017,42498.17882
54045,2017,7905.793771
54047,2017,0
54049,2017,4397.293138
54051,2017,2333.469236
54053,2017,725405.0628
54055,2017,9764.27238
54057,2017,68844.60214
54061,2017,17421.16277
54063,2017,273507.4848
54065,2017,41312.77645
54067,2017,59956.67709
54069,2017,6255.771747
54071,2017,204800.8166
54073,2017,1778.622106
54075,2017,209098.5484
54077,2017,201374.2467
54079,2017,44042.41691
54081,2017,2954.690601
54083,2017,80587.65643
54085,2017,4771.685313
54087,2017,5456.169622
54089,2017,25811.28104
54091,2017,1403.192834
54093,2017,11945.28829
54095,2017,15176.88391
54097,2017,7086.486795
54099,2017,33940.05076
54101,2017,36897.85265
54103,2017,0
54105,2017,2107.381994
54107,2017,24990.93697
54109,2017,0
54001,2016,26153.44181
54003,2016,511888.642
54005,2016,6583.868626
54007,2016,15555.3289
54009,2016,3441.687956
54011,2016,38517.90687
54013,2016,8149.138149
54015,2016,3962.386134
54017,2016,13756.16853
54019,2016,4700.041885
54021,2016,11649.03423
54023,2016,284662.0955
54025,2016,223398.5682
54027,2016,476766.9149
54029,2016,0
54031,2016,533458.4582
54033,2016,62274.23207
54035,2016,104393.6347
54037,2016,916122.9357
54039,2016,8731.219445
54041,2016,20589.80295
54043,2016,48128.59824
54045,2016,12063.89945
54047,2016,0
54049,2016,9435.008649
54051,2016,11527.32633
54053,2016,688586.2986
54055,2016,6228.269871
54057,2016,77526.87869
54061,2016,7449.582263
54063,2016,226791.573
54065,2016,74016.39931
54067,2016,22222.80556
54069,2016,13305.3201
54071,2016,97633.025
54073,2016,3917.936289
54075,2016,122946.1531
54077,2016,200308.9907
54079,2016,55904.14603
54081,2016,3206.738778
54083,2016,98119.85663
54085,2016,6684.409941
54087,2016,33274.94189
54089,2016,17249.71463
54091,2016,7163.833263
54093,2016,4988.965874
54095,2016,14815.55649
54097,2016,28844.77406
54099,2016,59139.45971
54101,2016,2402.408259
54103,2016,11341.06031
54105,2016,6966.983952
54107,2016,24610.39721
54109,2016,0
54001,2015,62039.49919
54003,2015,436431.5427
54005,2015,1649.992372
54007,2015,13587.29127
54009,2015,2773.528034
54011,2015,45163.99355
54013,2015,9476.220784
54015,2015,4688.88883
54017,2015,18464.50608
54019,2015,2319.833634
54021,2015,17266.06804
54023,2015,286040.4092
54025,2015,509044.0475
54027,2015,562889.2266
54029,2015,0
54031,2015,564324.1422
54033,2015,70611.54127
54035,2015,30854.42935
54037,2015,486610.7855
54039,2015,6164.465666
54041,2015,25338.40426
54043,2015,46257.56826
54045,2015,1885.399844
54047,2015,0
54049,2015,26220.11225
54051,2015,4992.778475
54053,2015,277348.5233
54055,2015,9086.728421
54057,2015,15077.84858
54061,2015,18052.543
54063,2015,422754.3686
54065,2015,26701.62753
54067,2015,31278.1628
54069,2015,9762.989886
